isocode,date,totalvaccinations,peoplevaccinated,peoplefullyvaccinated,totalboosters,dailyvaccinationsraw,dailyvaccinations,totalvaccinationsperhundred,peoplevaccinatedperhundred,peoplefullyvaccinatedperhundred,totalboostersperhundred,dailyvaccinationspermillion,dailypeoplevaccinated,dailypeoplevaccinatedperhundred
bgr,2022,4410391.4954682775,2092031.88,2050803.0369127516,677486.4,2855.662251655629,2547.531506849315,65.03166163141994,30.8464,30.239026845637582,9.989575757575757,375.6164383561644,412.92602739726027,0.005978082191780822
bgr,2023,4634008.989583333,2112272.1,2077219.892361111,555673.6153846154,482.0406504065041,333.15616438356165,68.32829861111111,31.146,30.62954861111111,16.012478386167146,49.11232876712329,137.23249299719888,0.0019719887955182073
bgr,2024,4726134.713114754,1755701.5,2078003.4918032787,555673.6153846154,18.662790697674417,12.276243093922652,69.68581967213115,45.03286885245902,30.64,16.012478386167146,1.7513812154696133,1084.4875428082191,0.027193150684931507
bhr,2020,52418.22222222222,52418.22222222222,1541441.8421052631,555673.6153846154,2459.75,4332.125,3.56,3.56,39.972812499999996,16.012478386167146,2942.5,4332.125,0.294125
bhr,2021,2030159.3801916933,856596.7888888889,894729.3687707641,809530,8842.35576923077,8624.29315068493,137.89626198083067,58.183055555555555,60.773554817275745,54.986363636363635,5857.915068493151,3142.241095890411,0.21341095890410958
bhr,2022,3436980.6462882096,1235065.7292576418,1218222.096069869,983829.859030837,871.3168316831683,771.8169014084507,233.45336244541485,83.89069868995634,82.74633187772926,66.82528634361233,524.2366197183098,111.50422535211267,0.007554929577464789
bhs,2021,133636.80952380953,71841.05405405405,70323.83870967742,6954,3086,1036.7133105802047,32.595,17.52243243243243,17.151935483870968,1.7,2528.6075085324233,538.9010238907849,0.1314641638225256
bhs,2022,342888.8333333333,167438.20833333334,158908.95833333334,27954.375,10435,169.23561643835617,83.6325,40.84,38.75958333333333,6.81875,412.88493150684934,46.2,0.011334246575342466
bhs,2023,366221,174810,166879,36932,10435,9.545454545454545,89.325,42.64,40.705,9.01,23.356060606060606,4,0.001
bih,2021,611848.1052631579,400702.75,249649.44444444444,22572,46931,5537.439628482972,18.922105263157896,12.3925,7.721111111111111,0.7,1712.4674922600618,2824.848297213622,0.08740247678018576
bih,2022,1924950,941584.5,844517,120530,10435,4315,59.53,29.119999999999997,26.12,3.73,1334,1014.3448275862069,0.031793103448275864
blr,2020,0,0,1541441.8421052631,555673.6153846154,10435,403,0,0,39.972812499999996,16.012478386167146,42,403,0.004
blr,2021,3054590.03125,1755701.5,1333106.2258064516,114146,10435,22780.257534246575,32.03625,18.4121875,13.980967741935483,1.2,2389.0602739726028,12902.868493150685,0.13534794520547946
blr,2022,12745453.75,5815322.47368421,5134919.947368421,1635919.4090909092,10435,27166.60821917808,133.67,60.98947368421053,53.85421052631579,17.156363636363636,2849.104109589041,4736.460273972602,0.04965479452054795
blr,2023,20503412.375,6463898.25,6370073.25,5663899.5,10435,17379.743902439026,215.035,67.7925,66.8075,59.401250000000005,1822.9227642276423,342.2073170731707,0.0035121951219512196
blz,2021,145048.76363636364,99205.24545454545,69430.56521739131,555673.6153846154,2307.269230769231,1395.2287581699347,35.78909090909091,24.478272727272728,17.131884057971014,16.012478386167146,3442.581699346405,754.7843137254902,0.18619934640522876
blz,2022,480403.68888888886,242924.8,213608.22222222222,47476.425,10435,207.08767123287672,118.53466666666667,59.93888888888889,52.705555555555556,11.71475,510.9698630136986,58.84931506849315,0.014473972602739726
blz,2023,502902.9090909091,252500.63636363635,221349.72727272726,51555.818181818184,10435,68.56756756756756,124.08545454545454,62.302727272727275,54.61727272727273,12.72090909090909,169.13513513513513,51.270270270270274,0.012486486486486486
bmu,2021,60959.04,30827.214285714286,29905.842105263157,15034.5,10435,319.2732394366197,94.9412,48.01166666666667,46.576578947368425,23.415,4972.560563380282,132.90985915492956,0.20703098591549296
bmu,2022,124968.05555555556,47549.77777777778,46522.444444444445,30313.6875,10435,103.23280423280423,194.63333333333333,74.05722222222222,72.45666666666666,47.211875,1607.7195767195767,11.814814814814815,0.018386243386243388
bol,2021,4211178.6170886075,2674619.5474683545,1907468.625407166,350475.4556962025,31287.70226537217,29029.743975903613,34.449620253164554,21.879810126582278,15.604104234527687,2.8668354430379748,2374.7861445783133,16696.10542168675,0.13658132530120481
bol,2022,13379918.207142858,7083394.4,5811394.425,1482175.6464285713,17491.735714285714,18025.85357142857,109.45514285714286,57.94589285714286,47.540392857142855,12.12507142857143,1474.642857142857,6499.553571428572,0.05319285714285714
bra,2021,137114463.5867052,84308413.63450292,53597450.26380368,9651998.237288136,961442.7645348837,948380.290229885,63.68121387283237,39.15616959064327,24.89288343558282,4.482881355932204,4404.626436781609,477423.9712643678,0.2217241379310345
bra,2022,434175734.13448274,182182910.09655172,164568460.75862068,92341555.77622378,501733.37549407117,411961.56438356166,201.64827586206897,84.61303448275862,76.43193103448276,42.88688811188811,1913.295890410959,61623.20547945205,0.028632876712328767
bra,2023,483893721.7457627,189126758.88135594,175606682.30508474,125013987.2745098,74788.51282051283,74587.25925925926,224.7393220338983,87.83830508474576,81.55830508474577,58.060980392156864,346.3703703703704,13306.148148148148,0.006222222222222222
brb,2021,177152.70033670033,103318.12794612795,94520.9827586207,555673.6153846154,985.5,944.2445141065831,62.89892255892256,36.6839393939394,33.56,16.012478386167146,3352.576802507837,495.4514106583072,0.17592789968652037
brb,2022,314687.6051502146,161437.69777777776,151669.9125,62059.333333333336,77.19597989949749,225.08767123287672,111.73128755364807,57.31946666666666,53.85104166666667,22.031666666666666,799.2027397260274,22.34246575342466,0.00792054794520548
brb,2023,381881.77777777775,163841.55555555556,155028.11111111112,62756.444444444445,10435,8.253443526170798,135.5888888888889,58.172222222222224,55.044444444444444,22.279999999999998,29.336088154269973,0.06060606060606061,0
brn,2021,320446.71515151515,191333.78787878787,147304.24305555556,555673.6153846154,2597.35,3227.4065934065934,71.36890909090909,42.61351515151515,32.80756944444445,16.012478386167146,7187.923076923077,1492.5970695970695,0.3323919413919414
brn,2022,1129776.28,427906.12,420734.12,296171.22222222225,10435,1114.172602739726,251.6188,95.302,93.70360000000001,65.96166666666667,2481.5150684931505,122.9068493150685,0.027394520547945205
brn,2023,1290201.5,450942.25,446530,340133.25,10435,38.8232044198895,287.34749999999997,100.4325,99.44875,75.75375,86.353591160221,2.6022099447513813,4.033149171270718e-4
btn,2021,644603.0618556701,481043.34065934067,412472.29032258067,555673.6153846154,12676.95588235294,5071.032142857143,82.3820618556701,61.47835164835165,52.71516129032258,16.012478386167146,6480.917857142857,3044.225,0.3890392857142857
btn,2022,1795759.4705882352,670358,638664.1764705882,555673.6153846154,10435,2812.3366336633662,229.50235294117647,85.6735294117647,81.62352941176471,71.01615384615384,3594.3267326732675,355.0627062706271,0.045432343234323436
bwa,2021,322030.5833333333,239192.38775510204,191619.64516129033,555673.6153846154,10435,4498.690391459075,12.242916666666666,9.093673469387754,7.2858064516129035,16.012478386167146,1710.320284697509,4094.708185053381,0.15569395017793594
bwa,2022,2415785.619047619,1510289.111111111,1307149.5555555555,356837.7368421053,10435,5101.117808219178,91.8452380952381,57.41888888888889,49.696666666666665,13.566315789473684,1939.358904109589,1492.7671232876712,0.05672054794520548
bwa,2023,3167073.8181818184,1900678.8181818181,1611451.4545454546,505728.7272727273,10435,138.45479452054795,120.40545454545455,72.26181818181819,61.265454545454546,19.226363636363637,52.63835616438356,713.6602739726028,0.027156164383561644
caf,2021,173117.95,191710.38461538462,201955.75,555673.6153846154,12887,2254.137339055794,3.103,3.4353846153846153,3.62125,16.012478386167146,404.10729613733906,1960.2403433476395,0.0352274678111588
caf,2022,1339480.7741935484,1253595.6451612904,1198988.7419354839,163368.85714285713,10435,5151.301369863014,24.010322580645163,22.469677419354838,21.490967741935485,2.9307142857142856,923.3671232876712,4295.906849315069,0.07700821917808219
caf,2023,2811473.7,2393794.3,2280082.7,264819.7,10435,3777.032520325203,50.393,42.905,40.869,4.748,677.040650406504,2348.650406504065,0.042065040650406504
can,2020,35297.444444444445,35296.72222222222,1.3,555673.6153846154,5656.764705882353,4162,0.09166666666666667,0.09166666666666667,0,16.012478386167146,108.05882352941177,4161.882352941177,0.010882352941176471
